L,R,D,U,測試次數,最多移動步數,掉落次數,掉落機率
21,140,46,115,10000,10000,4903,0.4903
87,580,207,460,10000,10000,5250,0.525
9,60,23,46,10000,10000,5756,0.5756
93,620,253,460,10000,10000,6154,0.6154
24,160,69,115,10000,10000,6581,0.6581
99,660,299,460,10000,10000,6962,0.6962
51,340,161,230,10000,10000,7460,0.746
21,140,69,92,10000,10000,7899,0.7899
27,180,92,115,10000,10000,8280,0.828
111,740,391,460,10000,10000,8677,0.8677
57,380,207,230,10000,10000,9121,0.9121
117,780,437,460,10000,10000,9559,0.9559
7,35,2,40,10000,10000,2439,0.2439
11,55,6,60,10000,10000,2845,0.2845
23,115,18,120,10000,10000,3207,0.3207
1,5,1,5,10000,10000,3560,0.356
5,25,6,24,10000,10000,4031,0.4031
13,65,18,60,10000,10000,4499,0.4499
9,45,14,40,10000,10000,4817,0.4817
7,35,12,30,10000,10000,5178,0.5178
29,145,54,120,10000,10000,5599,0.5599
1,5,2,4,10000,10000,5960,0.596
31,155,66,120,10000,10000,6399,0.6399
4,20,9,15,10000,10000,6813,0.6813
11,55,26,40,10000,10000,7219,0.7219
17,85,42,60,10000,10000,7578,0.7578
7,35,18,24,10000,10000,7954,0.7954
3,15,8,10,10000,10000,8421,0.8421
37,185,102,120,10000,10000,8844,0.8844
19,95,54,60,10000,10000,9246,0.9246
13,65,38,40,10000,10000,9622,0.9622
21,84,5,100,10000,10000,2833,0.2833
11,44,5,50,10000,10000,3269,0.3269
23,92,15,100,10000,10000,3608,0.3608
6,24,5,25,10000,10000,3951,0.3951
1,4,1,4,10000,10000,4473,0.4473
13,52,15,50,10000,10000,4704,0.4704
27,108,35,100,10000,10000,5160,0.516
7,28,10,25,10000,10000,5492,0.5492
29,116,45,100,10000,10000,5786,0.5786
3,12,5,10,10000,10000,6250,0.625
31,124,55,100,10000,10000,6615,0.6615
8,32,15,25,10000,10000,7007,0.7007
33,132,65,100,10000,10000,7296,0.7296
17,68,35,50,10000,10000,7860,0.786
7,28,15,20,10000,10000,8146,0.8146
9,36,20,25,10000,10000,8503,0.8503
37,148,85,100,10000,10000,8883,0.8883
19,76,45,50,10000,10000,9253,0.9253
39,156,95,100,10000,10000,9637,0.9637
63,210,13,260,10000,10000,3396,0.3396
33,110,13,130,10000,10000,3734,0.3734
69,230,39,260,10000,10000,3971,0.3971
18,60,13,65,10000,10000,4371,0.4371
15,50,13,52,10000,10000,4688,0.4688
3,10,3,10,10000,10000,5039,0.5039
81,270,91,260,10000,10000,5474,0.5474
21,70,26,65,10000,10000,5734,0.5734
87,290,117,260,10000,10000,6140,0.614
9,30,13,26,10000,10000,6525,0.6525
93,310,143,260,10000,10000,6760,0.676
24,80,39,65,10000,10000,7184,0.7184
99,330,169,260,10000,10000,7605,0.7605
51,170,91,130,10000,10000,7951,0.7951
21,70,39,52,10000,10000,8226,0.8226
27,90,52,65,10000,10000,8560,0.856
111,370,221,260,10000,10000,8947,0.8947
57,190,117,130,10000,10000,9258,0.9258
9,30,19,20,10000,10000,9605,0.9605
49,140,9,180,10000,10000,3820,0.382
77,220,27,270,10000,10000,4126,0.4126
161,460,81,540,10000,10000,4484,0.4484
14,40,9,45,10000,10000,4748,0.4748
35,100,27,108,10000,10000,5119,0.5119
91,260,81,270,10000,10000,5439,0.5439
7,20,7,20,10000,10000,5739,0.5739
49,140,54,135,10000,10000,6107,0.6107
203,580,243,540,10000,10000,6500,0.65
7,20,9,18,10000,10000,6750,0.675
217,620,297,540,10000,10000,7023,0.7023
56,160,81,135,10000,10000,7450,0.745
77,220,117,180,10000,10000,7729,0.7729
119,340,189,270,10000,10000,8047,0.8047
49,140,81,108,10000,10000,8380,0.838
7,20,12,15,10000,10000,8723,0.8723
259,740,459,540,10000,10000,9033,0.9033
133,380,243,270,10000,10000,9300,0.93
91,260,171,180,10000,10000,9667,0.9667
6,15,1,20,10000,10000,4200,0.42
22,55,7,70,10000,10000,4579,0.4579
46,115,21,140,10000,10000,4861,0.4861
12,30,7,35,10000,10000,5154,0.5154
10,25,7,28,10000,10000,5483,0.5483
26,65,21,70,10000,10000,5778,0.5778
54,135,49,140,10000,10000,6079,0.6079
2,5,2,5,10000,10000,6442,0.6442
58,145,63,140,10000,10000,6634,0.6634
6,15,7,14,10000,10000,7067,0.7067
62,155,77,140,10000,10000,7268,0.7268
16,40,21,35,10000,10000,7560,0.756
66,165,91,140,10000,10000,7870,0.787
34,85,49,70,10000,10000,8276,0.8276
2,5,3,4,10000,10000,8535,0.8535
18,45,28,35,10000,10000,8865,0.8865
74,185,119,140,10000,10000,9101,0.9101
38,95,63,70,10000,10000,9416,0.9416
78,195,133,140,10000,10000,9699,0.9699
189,420,29,580,10000,10000,4815,0.4815
99,220,29,290,10000,10000,5137,0.5137
207,460,87,580,10000,10000,5389,0.5389
54,120,29,145,10000,10000,5636,0.5636
45,100,29,116,10000,10000,5947,0.5947
117,260,87,290,10000,10000,6166,0.6166
243,540,203,580,10000,10000,6478,0.6478
63,140,58,145,10000,10000,6739,0.6739
9,20,9,20,10000,10000,6989,0.6989
27,60,29,58,10000,10000,7283,0.7283
279,620,319,580,10000,10000,7500,0.75
72,160,87,145,10000,10000,7800,0.78
297,660,377,580,10000,10000,8063,0.8063
153,340,203,290,10000,10000,8301,0.8301
63,140,87,116,10000,10000,8650,0.865
81,180,116,145,10000,10000,8942,0.8942
333,740,493,580,10000,10000,9115,0.9115
171,380,261,290,10000,10000,9444,0.9444
351,780,551,580,10000,10000,9736,0.9736
7,14,1,20,10000,10000,5149,0.5149
11,22,3,30,10000,10000,5505,0.5505
23,46,9,60,10000,10000,5735,0.5735
2,4,1,5,10000,10000,6020,0.602
5,10,3,12,10000,10000,6330,0.633
13,26,9,30,10000,10000,6566,0.6566
9,18,7,20,10000,10000,6800,0.68
7,14,6,15,10000,10000,7066,0.7066
29,58,27,60,10000,10000,7176,0.7176
1,2,1,2,10000,10000,7481,0.7481
31,62,33,60,10000,10000,7698,0.7698
8,16,9,15,10000,10000,8031,0.8031
11,22,13,20,10000,10000,8229,0.8229
17,34,21,30,10000,10000,8455,0.8455
7,14,9,12,10000,10000,8765,0.8765
3,6,4,5,10000,10000,8953,0.8953
37,74,51,60,10000,10000,9267,0.9267
19,38,27,30,10000,10000,9503,0.9503
13,26,19,20,10000,10000,9762,0.9762
231,420,31,620,10000,10000,5801,0.5801
121,220,31,310,10000,10000,5985,0.5985
253,460,93,620,10000,10000,6135,0.6135
66,120,31,155,10000,10000,6419,0.6419
55,100,31,124,10000,10000,6596,0.6596
143,260,93,310,10000,10000,6863,0.6863
297,540,217,620,10000,10000,7071,0.7071
77,140,62,155,10000,10000,7300,0.73
319,580,279,620,10000,10000,7468,0.7468
33,60,31,62,10000,10000,7812,0.7812
11,20,11,20,10000,10000,7989,0.7989
88,160,93,155,10000,10000,8169,0.8169
363,660,403,620,10000,10000,8458,0.8458
187,340,217,310,10000,10000,8655,0.8655
77,140,93,124,10000,10000,8859,0.8859
99,180,124,155,10000,10000,9094,0.9094
407,740,527,620,10000,10000,9330,0.933
209,380,279,310,10000,10000,9551,0.9551
429,780,589,620,10000,10000,9778,0.9778
63,105,8,160,10000,10000,6224,0.6224
33,55,8,80,10000,10000,6347,0.6347
69,115,24,160,10000,10000,6565,0.6565
9,15,4,20,10000,10000,6693,0.6693
15,25,8,32,10000,10000,7003,0.7003
39,65,24,80,10000,10000,7273,0.7273
81,135,56,160,10000,10000,7397,0.7397
21,35,16,40,10000,10000,7593,0.7593
87,145,72,160,10000,10000,7873,0.7873
9,15,8,16,10000,10000,7999,0.7999
93,155,88,160,10000,10000,8297,0.8297
3,5,3,5,10000,10000,8357,0.8357
99,165,104,160,10000,10000,8617,0.8617
51,85,56,80,10000,10000,8845,0.8845
21,35,24,32,10000,10000,9023,0.9023
27,45,32,40,10000,10000,9191,0.9191
111,185,136,160,10000,10000,9414,0.9414
57,95,72,80,10000,10000,9610,0.961
117,195,152,160,10000,10000,9801,0.9801
91,140,11,220,10000,10000,6638,0.6638
13,20,3,30,10000,10000,6934,0.6934
299,460,99,660,10000,10000,6963,0.6963
26,40,11,55,10000,10000,7252,0.7252
65,100,33,132,10000,10000,7456,0.7456
169,260,99,330,10000,10000,7571,0.7571
117,180,77,220,10000,10000,7847,0.7847
91,140,66,165,10000,10000,7909,0.7909
377,580,297,660,10000,10000,8100,0.81
13,20,11,22,10000,10000,8206,0.8206
403,620,363,660,10000,10000,8445,0.8445
104,160,99,165,10000,10000,8675,0.8675
13,20,13,20,10000,10000,8818,0.8818
221,340,231,330,10000,10000,8938,0.8938
91,140,99,132,10000,10000,9127,0.9127
39,60,44,55,10000,10000,9267,0.9267
481,740,561,660,10000,10000,9477,0.9477
247,380,297,330,10000,10000,9650,0.965
169,260,209,220,10000,10000,9799,0.9799
147,210,17,340,10000,10000,7104,0.7104
77,110,17,170,10000,10000,7318,0.7318
161,230,51,340,10000,10000,7417,0.7417
42,60,17,85,10000,10000,7612,0.7612
35,50,17,68,10000,10000,7797,0.7797
91,130,51,170,10000,10000,7890,0.789
189,270,119,340,10000,10000,8118,0.8118
49,70,34,85,10000,10000,8183,0.8183
203,290,153,340,10000,10000,8358,0.8358
21,30,17,34,10000,10000,8489,0.8489
217,310,187,340,10000,10000,8689,0.8689
56,80,51,85,10000,10000,8771,0.8771
231,330,221,340,10000,10000,9004,0.9004
7,10,7,10,10000,10000,9143,0.9143
49,70,51,68,10000,10000,9257,0.9257
63,90,68,85,10000,10000,9365,0.9365
259,370,289,340,10000,10000,9576,0.9576
133,190,153,170,10000,10000,9687,0.9687
273,390,323,340,10000,10000,9843,0.9843
